Time_s,LapID,Speed,Distance,Throttle,Brake
12.1,3,79.54620001926858,909.8691894786363,0.015565892827535814,-0.4497541632363251
12.11,3,79.3398982847344,910.080901974685,0.025779217264444543,-0.5558046402485889
12.120000000000001,3,79.13293776306327,910.2918411160076,0.036531930464789336,-0.6104445625087619
12.13,3,78.92486084559496,910.5020361686629,0.04680845359610372,-0.6208731916000126
12.14,3,78.7152099236691,910.7115163987095,0.05559320782592702,-0.5942897891055425
12.15,3,78.50352738862533,910.9203110722062,0.06187061432179673,-0.5378936166085384
12.16,3,78.28935563180335,911.1284494552117,0.06462509425125026,-0.458883935692187
12.17,3,78.07223704454285,911.3359608137848,0.06284106878182516,-0.3644600079396757
12.18,3,77.85171401818346,911.5428744139844,0.05550295908105887,-0.2618210949341915
12.19,3,77.62732894406489,911.7492195218691,0.0415951863164889,-0.15816645825892062
12.200000000000001,3,77.39862421352674,911.9550254034978,0.020102171655648093,-0.060695359497035195
12.21,3,77.16515122511572,912.1603213082465,-0.009974991873706854,0.023432233036676787
12.22,3,76.9271582683137,912.3651351947492,-0.04834530324448129,0.0900964857592273
12.23,3,76.68607491111014,912.569492833743,-0.09253127783661808,0.1403308044773292
12.24,3,76.4434451463823,912.7734197840331,-0.13984363665773997,0.17566776503742212
12.25,3,76.20081296700755,912.9769416044251,-0.1875931007154698,0.1976399432859455
12.26,3,75.95972236586319,913.1800838537243,-0.23309039101743043,0.2077799150693389
12.27,3,75.72171733582651,913.3828720907364,-0.2736462285712445,0.20762025623404212
12.280000000000001,3,75.48834186977484,913.5853318742669,-0.3065713343845401,0.19869354262649203
12.290000000000001,3,75.26113996058554,913.7874887631211,-0.3291764294649277,0.18253235009313196
12.3,3,75.04165560113591,913.9893683161046,-0.33877223482003677,0.16066925448040043
12.31,3,74.83143278430326,914.1909960920226,-0.3326694714574902,0.1346368316347371
12.32,3,74.6320155029649,914.3923976496809,-0.3081788603849107,0.1059676574025814
12.33,3,74.44494774999818,914.5935985478849,-0.26261112260992125,0.07619430763037294
12.34,3,74.27177351828036,914.7946243454398,-0.1932769791401443,0.0468493581645516
12.35,3,74.1140368006888,914.9955006011514,-0.09748715098320315,0.019465384851556466
12.36,3,73.97327726114096,915.1962528458549,0.027440774811029432,-0.004427562815731665
12.370000000000001,3,73.85011682406919,915.3969006806803,0.18273361023564555,-0.023835022298858463
