Time,Distance,X,Y,Speed,Throttle,Brake,RPM,nGear,DRS,LapID,PointIndex,Year,GrandPrix,Session,Driver,LapNumber,LapTime_s,Time_s
0 days 00:00:48.467000,2960.231097657958,9960.0,11994.0,214.7,100.0,False,10922.3,5,0,3,382,2023,Italian Grand Prix,R,HAM,49.0,85.888,48.467
0 days 00:00:48.519000,2963.384999999999,9932.113089379323,11979.10810951774,216.0,100.0,False,10674.0,5,0,3,383,2023,Italian Grand Prix,R,HAM,49.0,85.888,48.519
0 days 00:00:48.727000,2976.3237361930837,9819.0,11918.0,222.68571428571428,100.0,False,10872.342857142858,5,0,3,384,2023,Italian Grand Prix,R,HAM,49.0,85.888,48.727
0 days 00:00:48.799000,2980.884999999999,9779.360355059744,11896.349443779478,225.0,100.0,False,10941.0,6,0,3,385,2023,Italian Grand Prix,R,HAM,49.0,85.888,48.799
0 days 00:00:48.866000,2985.1573934603775,9742.0,11876.0,227.01000192,100.0,False,11034.8000896,6,0,3,386,2023,Italian Grand Prix,R,HAM,49.0,85.888,48.866
0 days 00:00:48.999000,2993.7183333333323,9665.798267725135,11835.083444791335,231.0,100.0,False,11221.0,6,0,3,387,2023,Italian Grand Prix,R,HAM,49.0,85.888,48.999
0 days 00:00:49.186000,3005.940533166982,9549.0,11773.0,234.89583466666667,100.0,False,11415.791733333333,6,0,3,388,2023,Italian Grand Prix,R,HAM,49.0,85.888,49.186
0 days 00:00:49.239000,3009.4516666666655,9512.443166744346,11753.502165806702,236.0,100.0,False,11471.0,6,0,3,389,2023,Italian Grand Prix,R,HAM,49.0,85.888,49.239
0 days 00:00:49.406000,3020.6619554809613,9396.0,11691.0,240.1750016,100.0,False,11558.6750336,6,0,3,390,2023,Italian Grand Prix,R,HAM,49.0,85.888,49.406
0 days 00:00:49.519000,3028.3516666666656,9330.023895171282,11654.875635444072,243.0,100.0,False,11618.0,6,0,3,391,2023,Italian Grand Prix,R,HAM,49.0,85.888,49.519
